path,label
G-U-C-F-R-M-S,Multi Rocket Self Propelled
G-U-C-F-R-M-T,Multi Rocket Towed
G-U-C-F-R-S,Single Rocket Launcher Unit
G-U-C-F-R-S-R,Single Rocket Truck
G-U-C-F-R-S-S,Single Rocket Self Propelled
G-U-C-F-R-S-T,Single Rocket Towed
G-U-C-F-S,Artillery Survey
G-U-C-F-S-A,Artillery Survey (Airborne)
G-U-C-F-S-L,Artillery Survey (Light)
G-U-C-F-S-O,Artillery Survey (Mountain)
G-U-C-F-S-S,Artillery Survey (Air Assault)
G-U-C-F-T,Target Acquisition
G-U-C-F-T-A,Anglico
G-U-C-F-T-C,COLT/FIST
G-U-C-F-T-C-D,Dismounted COLT/FIST
G-U-C-F-T-C-M,Tracked COLT/FIST
G-U-C-F-T-F,Flash (Optical)
G-U-C-F-T-R,Target Acquisition Radar
G-U-C-F-T-S,Sound
G-U-C-I,Infantry Unit
G-U-C-I-A,Infantry Airborne
G-U-C-I-C,Infantry Arctic
G-U-C-I-I,Infantry Fighting Vehicle
G-U-C-I-L,Infantry Light
G-U-C-I-M,Infantry Motorized
G-U-C-I-N,Infantry Naval
G-U-C-I-O,Infantry Mountain
G-U-C-I-S,Infantry Air Assault
G-U-C-I-Z,Infantry Mechanized
G-U-C-I-d,Troops (DugIn)
G-U-C-M,Missile (Surf Surf)
G-U-C-M-S,Missile (Surf Surf) Strategic
G-U-C-M-T,Missile (Surf Surf) Tactical
G-U-C-R,Reconnaissance Unit
G-U-C-R-A,Reconnaissance Airborne
G-U-C-R-C,Reconnaissance Arctic
G-U-C-R-H,Reconnaissance Horse
G-U-C-R-L,Reconnaissance Light
G-U-C-R-O,Reconnaissance Mountain
G-U-C-R-R,Reconnaissance Marine
G-U-C-R-R-D,Reconnaissance Marine Division
G-U-C-R-R-F,Reconnaissance Marine Force
G-U-C-R-R-L,Reconnaissance Marine Light Armored
G-U-C-R-S,Reconnaissance Air Assault
G-U-C-R-V,Reconnaissance Cavalry
G-U-C-R-V-A,Reconnaissance Cavalry Armored
G-U-C-R-V-G,Reconnaissance Cavalry Ground
G-U-C-R-V-M,Reconnaissance Cavalry Motorized
G-U-C-R-V-O,Reconnaissance Cavalry Air
G-U-C-R-X,Reconnaissance Long Range Surveillance
G-U-C-S,Internal Security Forces
G-U-C-S-A,Aviation
G-U-C-S-G,Ground
G-U-C-S-G-A,Mechanized Ground
G-U-C-S-G-D,Dismounted Ground
G-U-C-S-G-M,Motorized Ground
G-U-C-S-M,Wheeled Mechanized
G-U-C-S-R,Rail
G-U-C-S-W,Riverine
G-U-C-V,Army Aviation Unit
G-U-C-V-C,Army Aviation Composite
G-U-C-V-F,Fixed Wing
G-U-C-V-F-A,Attack Fixed Wing
G-U-C-V-F-R,Recon Fixed Wing
G-U-C-V-F-U,Utility Fixed Wing
G-U-C-V-R,Rotary Wing
G-U-C-V-R-A,Attack Rotary Wing
G-U-C-V-R-M,Mine Countermeasure Rotary Wing
G-U-C-V-R-S,Scout Rotary Wing
G-U-C-V-R-U,Utility Rotary Wing
G-U-C-V-R-U-C,C2 Rotary Wing
G-U-C-V-R-U-E,Medevac Rotary Wing
G-U-C-V-R-U-H,Heavy Utility Rotary Wing
G-U-C-V-R-U-L,Light Utility Rotary Wing
G-U-C-V-R-U-M,Medium Utility Rotary Wing
G-U-C-V-R-W,Antisubmarine Warfare Rotary Wing
G-U-C-V-R-d,Helo ground unit (Dual)
G-U-C-V-R-s,Helo ground unit (Single)
G-U-C-V-S,Army Aviation Search and Rescue
G-U-C-V-U,Unmanned Aerial Vehicle
G-U-C-V-U-F,Unmanned Aerial Vehicle Fixed Wing
G-U-C-V-U-R,Unmanned Aerial Vehicle Rotary Wing
G-U-C-V-V,Vertical/Short Takeoff and Landing
G-U-H,Special C2 Headquarters Component
G-U-S,Combat Service Support Unit
G-U-S-A,Administrative Unit
G-U-S-A-C,Admin Corps
G-U-S-A-F,Finance
G-U-S-A-F-C,Finance Corps
G-U-S-A-F-T,Finance Theater
G-U-S-A-J,Judge Advocate General (JAG)
G-U-S-A-J-C,JAG Corps
G-U-S-A-J-T,JAG Theater
G-U-S-A-L,Labor
G-U-S-A-L-C,Labor Corps
G-U-S-A-L-T,Labor Theater
G-U-S-A-M,Mortuary/Graves Registry
G-U-S-A-M-C,Mortuary/Graves Registry Corps
G-U-S-A-M-T,Mortuary/Graves Registry Theater
G-U-S-A-O,Postal
G-U-S-A-O-C,Postal Corps
G-U-S-A-O-T,Postal Theater
G-U-S-A-P,Public Affairs
G-U-S-A-P-B,Public Affairs Broadcast
G-U-S-A-P-B-C,Public Affairs Broadcast Corps
G-U-S-A-P-B-T,Public Affairs Broadcast Theater
G-U-S-A-P-C,Public Affairs Corps
G-U-S-A-P-M,Public Affairs Joint Information Bureau
G-U-S-A-P-M-C,Public Affairs Jib Corps
G-U-S-A-P-M-T,Public Affairs Jib Theater
G-U-S-A-P-T,Public Affairs Theater
G-U-S-A-Q,Quartermaster (Supply)
G-U-S-A-Q-C,Quartermaster (Supply) Corps
G-U-S-A-Q-T,Quartermaster (Supply) Theater
G-U-S-A-R,Religious/Chaplain
G-U-S-A-R-C,Religious/Chaplain Corps
G-U-S-A-R-T,Religious/Chaplain Theater
G-U-S-A-S,Personnel Services
G-U-S-A-S-C,Personnel Corps
G-U-S-A-S-T,Personnel Theater
