ident,type,description,mhz
CYPR,RCO,TERRACE RDO,122.500
CYPR,RDO,PACIFIC RDO,126.700
CYPS,ATF,ATF,123.200
CYPT,CNTR,CLEVELAND CNTR,126.350
CYPT,UNIC,ATF/UNICOM,123.200
CYPU,ATF,WILLIAMS LAKE RDO,126.700
CYPU,CNTR,VANCOUVER CNTR,135.050
CYPU,RCO,PACIFIC RDO,126.700
CYPW,A/D,COMOX TERMINAL,123.700
CYPW,A/G,MF,123.000
CYPW,RDO,PACIFIC RDO,126.700
CYPX,A/G,AFLD RDO,122.100
CYPX,ATF,CTAF MF,122.100
CYPX,RCO,QUEBEC RDO,126.700
CYPY,ATF,ATF,123.200
CYPY,RCO,EDMONTON RDO,123.450
CYPZ,ATF,"Burns Lake Traffic, 5nm below 5400ASL",122.700
CYPZ,LWIS,Limited Weather Information System,122.950
CYPZ,PAL,Vancouver Control,123.875
CYPZ,PAL,Vancouver Control,132.525
CYPZ,RCO,Pacific Radio (FISE),123.375
CYQA,AWOS,,124.575
CYQA,MF,Timmins Radio,122.300
CYQA,RCO,LONDON RDO,123.475
CYQB,A/D,TRML CON,124.000
CYQB,ATIS,Atis French,128.300
CYQB,ATIS,Atis English,134.600
CYQB,CNTR,MONTREAL CNTR,135.025
CYQB,GND,GND,121.900
CYQB,RDO,RDO,123.550
CYQB,TWR,TWR,118.650
CYQD,A/G,MF WINNIPEG RDO,122.200
CYQD,CNTR,WINNIPEG CNTR,135.625
CYQD,RCO,WINNIPEG RDO,122.200
CYQF,ATIS,ATIS 24H,124.000
CYQF,GND,13-05Z,121.900
CYQF,MF/RDO,05-13Z RED DEER RDO,118.500
CYQF,PAL,EDMONTON CNTR,132.850
CYQF,RCO,EDMONTON RDO,123.475
CYQF,RCO. Bcst,Edmonton Rdo,126.700
CYQF,TWR,13-05Z,118.500
CYQG,A/D,DETROIT  APP/DEP,126.850
CYQG,A/G,MF,124.700
CYQG,AAS,VFR ADVSY,134.300
CYQG,ATIS,ATIS,134.500
