ident,type,name,municipality,iso_country,iso_region,iata_code,elevation_ft,lat,lon
UHWP,small_airport,Plastun Airport,Plastun,RU,RU-PRI,TLY,66,44.8150,136.2920
UHWT,small_airport,Terney Airport,Terney,RU,RU-PRI,NEI,33,45.0825,136.5912
UHWW,large_airport,Vladivostok International Airport,Artyom,RU,RU-PRI,VVO,59,43.3963,132.1482
UIAA,medium_airport,Chita-Kadala International Airport,Chita,RU,RU-ZAB,HTA,2272,52.0263,113.3060
UIAB,heliport,Barnaul Heliport,Borzya,RU,RU-ZAB,,2224,50.3614,116.4814
UIAC,small_airport,Tungukochen Airport,,RU,RU-ZAB,,,53.5383,115.6151
UIAD,small_airport,Krasniy Chikoy Airfield,Krasniy Chikoy,RU,RU-ZAB,,2529,50.3721,108.7677
UIAE,medium_airport,Krasnokamensk Airport,Krasnokamensk,RU,RU-ZAB,,2139,50.0331,118.0611
UIAG,small_airport,Ust'-Karenga Airport,,RU,RU-ZAB,,2223,54.4417,116.5139
UIAM,heliport,Mogocha Airbase,Mogocha,RU,RU-ZAB,,2094,53.7421,119.7396
UIAR,small_airport,Chara Airport,Chara,RU,RU-ZAB,CZR,2201,56.9133,118.2700
UIAU,small_airport,Yumurchen Airport,,RU,RU-ZAB,,,53.6195,114.0340
UIAY,small_airport,Usugli Airport,,RU,RU-ZAB,,,52.6594,115.2426
UIBB,medium_airport,Bratsk Airport,Bratsk,RU,RU-IRK,BTK,1610,56.3706,101.6980
UIBE,heliport,Erema Airfield,Erema,RU,RU-IRK,,902,60.3870,107.7863
UIBS,small_airport,Ust-Ilimsk Airport,Ust-Ilimsk,RU,RU-IRK,UIK,1339,58.1361,102.5650
UIBV,medium_airport,Zheleznogorsk Airport,Zheleznogorsk-Ilimsky,RU,RU-IRK,,1946,56.4877,104.1060
UIIB,small_airport,Belaya Air Base,Usolye-Sibirskoye,RU,RU-IRK,,1503,52.9150,103.5750
UIIH,small_airport,Khuzhir Airport,"Khuzhir, Olkhon Island",RU,RU-IRK,,1626,53.2179,107.4105
UIII,medium_airport,Irkutsk International Airport,Irkutsk,RU,RU-IRK,IKT,1675,52.2680,104.3890
UIIV,small_airport,Zhigalovo Airport,,RU,RU-IRK,,,54.8000,105.1500
